"secao","divisao","grupo","classe","subclasse","denominacao"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","FABRICAÇÃO DE PRODUTOS DIVERSOS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO","FABRICAÇÃO DE PRODUTOS DE PAPEL, CARTOLINA, PAPEL CARTÃO E PAPELÃO ONDULADO PARA USO COMERCIAL E DE ESCRITÓRIO","1741902","FABRICAÇÃO DE PRODUTOS DE PAPEL, CARTOLINA, PAPEL CARTÃO E PAPELÃO ONDULADO PARA USO INDUSTRIAL, COMERCIAL E DE ESCRITÓRIO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","FABRICAÇÃO DE PRODUTOS DIVERSOS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO","FABRICAÇÃO DE PRODUTOS DE PAPEL PARA USOS DOMÉSTICO E HIGIÊNICO-SANITÁRIO","1742701","FABRICAÇÃO DE FRALDAS DESCARTÁVEIS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","FABRICAÇÃO DE PRODUTOS DIVERSOS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO","FABRICAÇÃO DE PRODUTOS DE PAPEL PARA USOS DOMÉSTICO E HIGIÊNICO-SANITÁRIO","1742702","FABRICAÇÃO DE ABSORVENTES HIGIÊNICOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","FABRICAÇÃO DE PRODUTOS DIVERSOS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO","FABRICAÇÃO DE PRODUTOS DE PAPEL PARA USOS DOMÉSTICO E HIGIÊNICO-SANITÁRIO","1742799","FABRICAÇÃO DE PRODUTOS DE PAPEL PARA USO DOMÉSTICO E HIGIÊNICO SANITÁRIO NÃO ESPECIFICADOS ANTERIORMENTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","FABRICAÇÃO DE PRODUTOS DIVERSOS DE PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO","FABRICAÇÃO DE PRODUTOS DE PASTAS CELULÓSICAS, PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO NÃO ESPECIFICADOS ANTERIORMENTE","1749400","FABRICAÇÃO DE PRODUTOS DE PASTAS CELULÓSICAS, PAPEL, CARTOLINA, PAPEL CARTÃO E PAPELÃO ONDULADO NÃO ESPECIFICADOS ANTERIORMENTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","ATIVIDADE DE IMPRESSÃO","IMPRESSÃO DE JORNAIS, LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS","1811301","IMPRESSÃO DE JORNAIS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","ATIVIDADE DE IMPRESSÃO","IMPRESSÃO DE JORNAIS, LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS","1811302","IMPRESSÃO DE LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","ATIVIDADE DE IMPRESSÃO","IMPRESSÃO DE MATERIAL DE SEGURANÇA","1812100","IMPRESSÃO DE MATERIAL DE SEGURANÇA"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","ATIVIDADE DE IMPRESSÃO","IMPRESSÃO DE MATERIAIS PARA OUTROS USOS","1813001","IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","ATIVIDADE DE IMPRESSÃO","IMPRESSÃO DE MATERIAIS PARA OUTROS USOS","1813099","IMPRESSÃO DE MATERIAL PARA OUTROS USOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","SERVIÇOS DE PRÉ-IMPRESSÃO E ACABAMENTOS GRÁFICOS","SERVIÇOS DE PRÉ-IMPRESSÃO","1821100","SERVIÇOS DE PRÉ IMPRESSÃO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","SERVIÇOS DE PRÉ-IMPRESSÃO E ACABAMENTOS GRÁFICOS","SERVIÇOS DE ACABAMENTOS GRÁFICOS","1822901","SERVIÇOS DE ENCADERNAÇÃO E PLASTIFICAÇÃO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","SERVIÇOS DE PRÉ-IMPRESSÃO E ACABAMENTOS GRÁFICOS","SERVIÇOS DE ACABAMENTOS GRÁFICOS","1822999","SERVIÇOS DE ACABAMENTOS GRÁFICOS, EXCETO ENCADERNAÇÃO E PLASTIFICAÇÃO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE","REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE","1830001","REPRODUÇÃO DE SOM EM QUALQUER SUPORTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE","REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE","1830002","REPRODUÇÃO DE VÍDEO EM QUALQUER SUPORTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES","REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE","REPRODUÇÃO DE MATERIAIS GRAVADOS EM QUALQUER SUPORTE","1830003","REPRODUÇÃO DE SOFTWARE EM QUALQUER SUPORTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","COQUERIAS","COQUERIAS","1910100","COQUERIAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO","FABRICAÇÃO DE PRODUTOS DO REFINO DE PETRÓLEO","1921700","FABRICAÇÃO DE PRODUTOS DO REFINO DE PETRÓLEO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO","FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO, EXCETO PRODUTOS DO REFINO","1922599","FABRICAÇÃO DE OUTROS PRODUTOS DERIVADOS DO PETRÓLEO, EXCETO PRODUTOS DO REFINO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO","FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO, EXCETO PRODUTOS DO REFINO","1922501","FORMULAÇÃO DE COMBUSTÍVEIS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO","FABRICAÇÃO DE PRODUTOS DERIVADOS DO PETRÓLEO, EXCETO PRODUTOS DO REFINO","1922502","RERREFINO DE ÓLEOS LUBRIFICANTES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE ÁLCOOL","1931400","FABRICAÇÃO DE ÁLCOOL"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE BIOCOMBUSTÍVEIS","FABRICAÇÃO DE BIOCOMBUSTÍVEIS, EXCETO ÁLCOOL","1932200","FABRICAÇÃO DE BIOCOMBUSTÍVEIS, EXCETO ÁLCOOL"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS","FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS","2910701","FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS","FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS","2910702","FABRICAÇÃO DE CHASSIS COM MOTOR PARA AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS","FABRICAÇÃO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS","2910703","FABRICAÇÃO DE MOTORES PARA AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE CAMINHÕES E ÔNIBUS","FABRICAÇÃO DE CAMINHÕES E ÔNIBUS","2920401","FABRICAÇÃO DE CAMINHÕES E ÔNIBUS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE CAMINHÕES E ÔNIBUS","FABRICAÇÃO DE CAMINHÕES E ÔNIBUS","2920402","FABRICAÇÃO DE MOTORES PARA CAMINHÕES E ÔNIBUS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES","2930101","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA CAMINHÕES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES","2930102","FABRICAÇÃO DE CARROCERIAS PARA ÔNIBUS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES","2930103","FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES PARA OUTROS VEÍCULOS AUTOMOTORES, EXCETO CAMINHÕES E ÔNIBUS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA MOTOR DE VEÍCULOS AUTOMOTORES","2941700","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA MOTOR DE VEÍCULOS AUTOMOTORES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA OS SISTEMAS DE MARCHA E TRANSMISSÃO DE VEÍCULOS AUTOMOTORES","2942500","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA OS SISTEMAS DE MARCHA E TRANSMISSÃO DE VEÍCULOS AUTOMOTORES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA DE FREIOS DE VEÍCULOS AUTOMOTORES","2943300","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA DE FREIOS DE VEÍCULOS AUTOMOTORES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA DE DIREÇÃO E SUSPENSÃO DE VEÍCULOS AUTOMOTORES","2944100","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA O SISTEMA DE DIREÇÃO E SUSPENSÃO DE VEÍCULOS AUTOMOTORES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE MATERIAL ELÉTRICO E ELETRÔNICO PARA VEÍCULOS AUTOMOTORES, EXCETO BATERIAS","2945000","FABRICAÇÃO DE MATERIAL ELÉTRICO E ELETRÔNICO PARA VEÍCULOS AUTOMOTORES, EXCETO BATERIAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES NÃO ESPECIFICADOS ANTERIORMENTE","2949201","FABRICAÇÃO DE BANCOS E ESTOFADOS PARA VEÍCULOS AUTOMOTORES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES","FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES NÃO ESPECIFICADOS ANTERIORMENTE","2949299","FABRICAÇÃO DE OUTRAS PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES NÃO ESPECIFICADAS ANTERIORMENTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS","RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES","RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES","2950600","RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS","FABRICAÇÃO DE CLORO E ÁLCALIS","2011800","FABRICAÇÃO DE CLORO E ÁLCALIS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS","FABRICAÇÃO DE INTERMEDIÁRIOS PARA FERTILIZANTES","2012600","FABRICAÇÃO DE INTERMEDIÁRIOS PARA FERTILIZANTES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS","FABRICAÇÃO DE ADUBOS E FERTILIZANTES","2013401","FABRICAÇÃO DE ADUBOS E FERTILIZANTES ORGANOMINERAIS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS","FABRICAÇÃO DE ADUBOS E FERTILIZANTES","2013402","FABRICAÇÃO DE ADUBOS E FERTILIZANTES, EXCETO ORGANOMINERAIS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS","FABRICAÇÃO DE GASES INDUSTRIAIS","2014200","FABRICAÇÃO DE GASES INDUSTRIAIS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE","2019301","ELABORAÇÃO DE COMBUSTÍVEIS NUCLEARES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE","2019399","FABRICAÇÃO DE OUTROS PRODUTOS QUÍMICOS INORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS","FABRICAÇÃO DE PRODUTOS PETROQUÍMICOS BÁSICOS","2021500","FABRICAÇÃO DE PRODUTOS PETROQUÍMICOS BÁSICOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS","FABRICAÇÃO DE INTERMEDIÁRIOS PARA PLASTIFICANTES, RESINAS E FIBRAS","2022300","FABRICAÇÃO DE INTERMEDIÁRIOS PARA PLASTIFICANTES, RESINAS E FIBRAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE","2029100","FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS NÃO ESPECIFICADOS ANTERIORMENTE"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE RESINAS E ELASTÔMEROS","FABRICAÇÃO DE ELASTÔMEROS","2033900","FABRICAÇÃO DE ELASTÔMEROS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE RESINAS E ELASTÔMEROS","FABRICAÇÃO DE RESINAS TERMOPLÁSTICAS","2031200","FABRICAÇÃO DE RESINAS TERMOPLÁSTICAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE RESINAS E ELASTÔMEROS","FABRICAÇÃO DE RESINAS TERMOFIXAS","2032100","FABRICAÇÃO DE RESINAS TERMOFIXAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS","FABRICAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS","2040100","FABRICAÇÃO DE FIBRAS ARTIFICIAIS E SINTÉTICAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS E DESINFESTANTES DOMISSANITÁRIOS","FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS","2051700","FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS E DESINFESTANTES DOMISSANITÁRIOS","FABRICAÇÃO DE DESINFESTANTES DOMISSANITÁRIOS","2052500","FABRICAÇÃO DE DESINFESTANTES DOMISSANITÁRIOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE SABÕES, DETERGENTES, PRODUTOS DE LIMPEZA, COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL","FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS","2061400","FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE SABÕES, DETERGENTES, PRODUTOS DE LIMPEZA, COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL","FABRICAÇÃO DE PRODUTOS DE LIMPEZA E POLIMENTO","2062200","FABRICAÇÃO DE PRODUTOS DE LIMPEZA E POLIMENTO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE SABÕES, DETERGENTES, PRODUTOS DE LIMPEZA, COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL","FABRICAÇÃO DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL","2063100","FABRICAÇÃO DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES, LACAS E PRODUTOS AFINS","FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES E LACAS","2071100","FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES E LACAS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES, LACAS E PRODUTOS AFINS","FABRICAÇÃO DE TINTAS DE IMPRESSÃO","2072000","FABRICAÇÃO DE TINTAS DE IMPRESSÃO"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES, LACAS E PRODUTOS AFINS","FABRICAÇÃO DE IMPERMEABILIZANTES, SOLVENTES E PRODUTOS AFINS","2073800","FABRICAÇÃO DE IMPERMEABILIZANTES, SOLVENTES E PRODUTOS AFINS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE ADESIVOS E SELANTES","2091600","FABRICAÇÃO DE ADESIVOS E SELANTES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE EXPLOSIVOS","2092401","FABRICAÇÃO DE PÓLVORAS, EXPLOSIVOS E DETONANTES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE EXPLOSIVOS","2092402","FABRICAÇÃO DE ARTIGOS PIROTÉCNICOS"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE EXPLOSIVOS","2092403","FABRICAÇÃO DE FÓSFOROS DE SEGURANÇA"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE ADITIVOS DE USO INDUSTRIAL","2093200","FABRICAÇÃO DE ADITIVOS DE USO INDUSTRIAL"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE CATALISADORES","2094100","FABRICAÇÃO DE CATALISADORES"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS NÃO ESPECIFICADOS ANTERIORMENTE","2099101","FABRICAÇÃO DE CHAPAS, FILMES, PAPÉIS E OUTROS MATERIAIS E PRODUTOS QUÍMICOS PARA FOTOGRAFIA"
"INDÚSTRIAS DE TRANSFORMAÇÃO","FABRICAÇÃO DE PRODUTOS QUÍMICOS","FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS","FABRICAÇÃO DE PRODUTOS QUÍMICOS NÃO ESPECIFICADOS ANTERIORMENTE","2099199","FABRICAÇÃO DE OUTROS PRODUTOS QUÍMICOS NÃO ESPECIFICADOS ANTERIORMENTE"
